date,store_id,item_id,sales_qty
2024-01-01,S001,I001,12
2024-01-02,S001,I001,15
2024-01-03,S001,I001,11
2024-01-04,S001,I001,14
2024-01-05,S001,I001,13
2024-01-06,S001,I001,16
2024-01-07,S001,I001,18
2024-01-08,S001,I001,17
2024-01-09,S001,I001,19
2024-01-10,S001,I001,20
2024-01-11,S001,I001,15
2024-01-12,S001,I001,14
2024-01-13,S001,I001,16
2024-01-14,S001,I001,18
2024-01-15,S001,I001,17
2024-01-16,S001,I001,19
2024-01-17,S001,I001,16
2024-01-18,S001,I001,15
2024-01-19,S001,I001,18
2024-01-20,S001,I001,17
2024-01-21,S001,I001,19
2024-01-22,S001,I001,20
2024-01-23,S001,I001,18

2024-01-24,S001,I001,17
2024-01-25,S001,I001,16
2024-01-26,S001,I001,19
2024-01-27,S001,I001,18
2024-01-28,S001,I001,20
2024-01-29,S001,I001,21
2024-01-30,S001,I001,19
2024-01-31,S001,I001,18
2024-02-01,S001,I001,20
2024-02-02,S001,I001,21
2024-02-03,S001,I001,19
2024-02-04,S001,I001,20
2024-02-05,S001,I001,22
2024-02-06,S001,I001,21
2024-02-07,S001,I001,23
2024-02-08,S001,I001,22
2024-02-09,S001,I001,21